,Unnamed: 0,planet_name,star_name,simbad_id,parallax (mas),d_star(pc),Karm ID,mass_star(m_sun),radius_star(r_sun),p_rot(days),SP_TYPE,RA (h:m:s),DEC (d:m:s),μ_ra(mas/yr),μ_dec(mas/yr),radial_velocity(km/s),Pref,log(Lbol/LSun),log(LX/Lbol),log(LHa/Lbol),log(LCa/Lbol),bfield_star(gauss),dB,vsini,dvsini,p_orb(days),a(au),mass_planet(m_earth),radius_planet(r_earth),ra(deg),dec(deg),Teff
223,223,GJ 687 c,            BD+68 946 ,BD+68   946,219.7807,4.549990058271723,           J17364+683 ,0.43,0.43,   NaN ,M3.0V,17 36 25.8991,+68 20 20.904,-320.636,-1269.528,-28.65,          ,-1.65,    -5.05 ,      NaN ,      NaN ,249.0,249.0,   0.0 ,   0.0,727.562,1.165,,,264.1079132082267,68.3391400377617,3389.0
224,224,Gl 686 b,           BD+18 3421 ,BD+18  3421,122.5609,8.159209013641382,           J17378+185 ,0.43,0.43,   NaN ,M1.5Ve,17 37 53.3467,+18 35 30.160,926.741,984.697,-9.61,          ,-1.53,      NaN ,      NaN ,    -5.08 ,105.0,105.0,   0.0 ,   0.0,15.53,0.0912,,,264.4722780949373,18.5917113164897,3663.0
227,227,G204-39 b,            G 204-039 ,G 204-39,71.4754,13.990827613416643,           J17578+465 ,0.43,0.43,  30.3 ,M2.5V,17 57 50.9662,+46 35 19.125,-15.183,578.3,-31.15,     DA19 ,-1.68,    -4.42 ,      NaN ,      NaN ,283.0,153.0,   0.1 ,   0.2,,2685.0,9216.2,,269.4623592672962,46.5886459355361,3507.0
242,242,GJ 720A b,           BD+45 2743 ,BD+45  2743,64.2488,15.564493033332916,           J18353+457 ,0.6,0.6,  34.0 ,M0.5V,18 35 18.3905,+45 44 38.536,452.186,363.668,-31.65,     DA19 ,-1.15,    -5.17 ,      NaN ,    -4.74 ,158.0,50.0,   0.0 ,   0.0,19.47,0.119,,,278.8266274096164,45.7440379362499,3876.0
251,251,GJ 740 b,           BD+05 3993 ,HD 176029,90.0477,11.10522534168002,           J18580+059 ,0.58,0.58,  35.2 ,M1.0Ve,18 58 00.1362,+05 54 29.238,-196.301,-1220.467,10.434,     DA19 ,-1.19,    -4.86 ,      NaN ,    -4.57 ,557.0,80.0,   0.5 ,   0.2,2.37756,0.029,,,284.5005675458805,5.9081218363328,3857.0
256,256,GJ 752 A b,            V1428 Aql ,HD 180617,169.159,5.9115979640456615,          J19169+051N ,0.47,0.47,  46.0 ,M3-V,19 16 55.2565,+05 10 08.038,-579.043,-1332.743,35.884,     DA19 ,-1.48,    -5.31 ,      NaN ,    -4.94 ,233.0,44.0,   0.2 ,   0.1,105.9,0.3357,,,289.2302355209971,5.1688996822581,3575.0
266,266,AU Mic b,               AU Mic ,V* AU Mic,102.8295,9.724835771835904,           J20451-313 ,0.5,0.75,   4.9 ,M1VeBa1,20 45 09.5323,-31 20 27.241,281.424,-359.895,-4.71,    Rev20 ,-1.0,    -2.86 ,    -3.72 ,      NaN ,3007.0,222.0,   8.2 ,   0.0,8.463,0.0645,11.69504,4.3804772,311.2897182064525,-31.3409004752072,3700.0
267,267,AU Mic c,               AU Mic ,V* AU Mic,102.8295,9.724835771835904,           J20451-313 ,0.5,0.75,   4.9 ,M1VeBa1,20 45 09.5323,-31 20 27.241,281.424,-359.895,-4.71,    Rev20 ,-1.0,    -2.86 ,    -3.72 ,      NaN ,3007.0,222.0,   8.2 ,   0.0,18.859019,0.1101,22.18244,3.5095379,311.2897182064525,-31.3409004752072,3700.0
274,274,LSPM J2116+0234 b,      LSPM J2116+0234 ,LSPM J2116+0234,56.6935,17.63870637727429,           J21164+025 ,0.45,0.44,   NaN ,M3.0Ve,21 16 27.2842,+02 34 51.390,247.523,-39.677,-22.177,          ,-1.62,      NaN ,      NaN ,    -5.02 ,158.0,158.0,   0.1 ,   0.1,14.446,0.0876,,,319.113684526891,2.5809418954549,3550.0
275,275,TYC 2187-512-1 b,       TYC 2187-512-1 ,LSPM J2122+2255,64.5938,15.481361988302282,           J21221+229 ,0.51,0.51,  41.0 ,M1.0Ve,21 22 06.2817,+22 55 53.139,108.844,117.87,6.02,     DA19 ,-1.39,      NaN ,      NaN ,    -4.85 ,515.0,54.0,   0.0 ,   0.0,694.86,1.22,,,320.5261740868253,22.9314275596602,3761.0
278,278,G 264-012 b,            G 264-012 ,G 264-12,62.4358,16.016452099596705,           J21466+668 ,0.33,0.33,   NaN ,M4.0V,21 46 40.2401,+66 48 10.647,392.71,206.775,5.973,          ,-1.97,      NaN ,      NaN ,      NaN ,215.0,215.0,   0.3 ,   0.1,2.30538,0.02279,,,326.6676671648465,66.8029577051549,3409.0
279,279,G 264-012 c,            G 264-012 ,G 264-12,62.4358,16.016452099596705,           J21466+668 ,0.33,0.33,   NaN ,M4.0V,21 46 40.2401,+66 48 10.647,392.71,206.775,5.973,          ,-1.97,      NaN ,      NaN ,      NaN ,215.0,215.0,   0.3 ,   0.1,8.0518,0.0525,,,326.6676671648465,66.8029577051549,3409.0
280,280,Wolf 940 b,             Wolf 940 ,Wolf  940,80.7724,12.380466595025032,           J21466-001 ,0.32,0.33,   NaN ,dM4.0,21 46 40.4227,-00 10 23.771,769.495,-505.666,4.141,          ,-2.04,      NaN ,      NaN ,      NaN ,234.0,234.0,   0.0 ,   0.0,,400.0,8262.800000000001,10.31228,326.668428099269,-0.1732698772384,3408.0
281,281,TOI-1759 b,       TYC 4266-736-1 ,LSPM J2147+6245,24.9302,40.11199268357254,           J21474+627 ,0.61,0.6,   NaN ,M0.0Ve,21 47 24.7902,+62 45 13.900,-173.47,-10.459,-61.33,          ,-1.06,      NaN ,      NaN ,      NaN ,294.0,52.0,   0.0 ,   0.0,18.849975,0.1176,6.80092,3.060057,326.8532929139248,62.7538613855324,4029.0
286,286,GJ 849 b,           BD-05 5715 ,BD-05  5715,113.6,8.802816901408452,           J22096-046 ,0.49,0.48,  39.2 ,M3.5V,22 09 40.3443,-04 38 26.651,1132.534,-22.125,-15.3,     SM15 ,-1.55,      NaN ,      NaN ,    -5.05 ,189.0,57.0,   0.5 ,   0.1,1914.0,2.35,,,332.4181015644363,-4.6407364630828,3540.0
287,287,GJ 849 c,           BD-05 5715 ,BD-05  5715,113.6,8.802816901408452,           J22096-046 ,0.49,0.48,  39.2 ,M3.5V,22 09 40.3443,-04 38 26.651,1132.534,-22.125,-15.3,     SM15 ,-1.55,      NaN ,      NaN ,    -5.05 ,189.0,57.0,   0.5 ,   0.1,7049.0,,,,332.4181015644363,-4.6407364630828,3540.0
290,290,GJ 1265 b,           LP 819-052 ,L  788-37,97.5087,10.255495150689118,           J22137-176 ,0.19,0.22,   NaN ,dM4.5,22 13 42.8628,-17 41 08.676,856.89,-306.305,24.0,          ,-2.45,    -4.84 ,      NaN ,    -4.65 ,318.0,111.0,   0.0 ,   0.0,3.6511,0.026,,,333.4285950748875,-17.6857434708719,3256.0
292,292,GJ 4276 b,            G 232-070 ,G 232-70,46.8398,21.34936528337013,           J22252+594 ,0.45,0.44,  64.6 ,M3.5Ve,22 25 17.0663,+59 24 49.817,122.369,-310.095,28.977,     DA19 ,-1.7,      NaN ,      NaN ,      NaN ,210.0,88.0,   0.0 ,   0.0,13.35,0.082,,,336.3211099996243,59.4138380968181,3448.0
293,293,GJ 4276 c,            G 232-070 ,G 232-70,46.8398,21.34936528337013,           J22252+594 ,0.45,0.44,  64.6 ,M3.5Ve,22 25 17.0663,+59 24 49.817,122.369,-310.095,28.977,     DA19 ,-1.7,      NaN ,      NaN ,      NaN ,210.0,88.0,   0.0 ,   0.0,6.675,0.052,,,336.3211099996243,59.4138380968181,3448.0
299,299,GJ 876 b,               IL Aqr ,BD-15  6290,213.8669,4.675805372406857,           J22532-142 ,0.37,0.38,  81.0 ,M3.5V,22 53 16.7323,-14 15 49.303,957.961,-673.638,-1.47,     DA19 ,-1.9,    -5.40 ,      NaN ,    -5.17 ,197.0,92.0,   0.0 ,   0.0,61.082,0.214,760.84498,,343.3197179614233,-14.2636953916489,3421.0
300,300,GJ 876 c,               IL Aqr ,BD-15  6290,213.8669,4.675805372406857,           J22532-142 ,0.37,0.38,  81.0 ,M3.5V,22 53 16.7323,-14 15 49.303,957.961,-673.638,-1.47,     DA19 ,-1.9,    -5.40 ,      NaN ,    -5.17 ,197.0,92.0,   0.0 ,   0.0,30.126,0.134,241.46444,,343.3197179614233,-14.2636953916489,3421.0
301,301,GJ 876 d,               IL Aqr ,BD-15  6290,213.8669,4.675805372406857,           J22532-142 ,0.37,0.38,  81.0 ,M3.5V,22 53 16.7323,-14 15 49.303,957.961,-673.638,-1.47,     DA19 ,-1.9,    -5.40 ,      NaN ,    -5.17 ,197.0,92.0,   0.0 ,   0.0,1.938,0.021,6.9092898,,343.3197179614233,-14.2636953916489,3421.0
302,302,GJ 876 e,               IL Aqr ,BD-15  6290,213.8669,4.675805372406857,           J22532-142 ,0.37,0.38,  81.0 ,M3.5V,22 53 16.7323,-14 15 49.303,957.961,-673.638,-1.47,     DA19 ,-1.9,    -5.40 ,      NaN ,    -5.17 ,197.0,92.0,   0.0 ,   0.0,124.4,0.345,15.429190000000002,,343.3197179614233,-14.2636953916489,3421.0
332,332,HN Peg b,            HD 206860 ,V* HN Peg,55.1631,18.1280602431698,                      ,1.1,1.04,   4.6 ,G0V+,21 44 31.3299,+14 46 18.982,231.086,-113.134,-16.723,      K20 ,0.06,    -4.65 ,      NaN ,    -4.37 ,450.0,80.0,  10.1 ,   NaN,,795.0,5084.8,12.3299,326.1305415557063,14.7719395363997,5974.0
334,334,Ross 458 (AB) c,               Gl 494 ,BD+13  2618,86.857,11.513176830882946,                      ,0.58,0.54,   2.8 ,M0V,13 00 46.5602,+12 22 32.716,-632.151,-36.019,-12.52,    Shu17 ,-1.25,    -2.98 ,      NaN ,      NaN ,2600.0,100.0,   NaN ,   NaN,,1168.0,3591.1400000000003,11.99363,195.1940011736866,12.3757546664125,3725.0
